Metabolite,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25
"(-)-5-Oxo-1,2-campholide",12.8660257292639,12.6730851718838,12.8678105296748,13.0753756133505,12.8938080840684,12.8798230559076,12.8795607147929,11.9643319700625,12.5457440697377,12.6335988185088,12.3164923574521,12.8788534668449,13.6760970683148,12.6526638267872,12.8701887929281,13.4791775351331,13.7351214132087,13.3356932232569,12.8812030009352,12.8887704663846,12.8811933036607,14.2348174490762,12.416174518757,12.9524554103938,12.8664466911347,14.3105318656402,12.5599821887627,13.1290594661054,14.1551467632619,11.9223211901744,12.3740289378922,10.6043833276036,12.1676013113114,12.5060664823492,12.4941164651374,12.5017550287915,13.5201789966888,12.2458296762241,11.4909609514759,12.5167015488239,12.5071085067852,13.7103392769454,12.4922421707734,12.5036567131912,12.5183695002879,12.5053684224665,12.5012506566722,12.5091332091216,12.5056805606396,12.4916688874787,15.092616691371,14.8279444597557,13.3435258623371,14.8461208176889,13.9399793928238,14.8406698599981,14.8248100816964,14.8996855319927,11.8527613601116,14.8493894609149,14.8521247567767,14.8432668948263,14.8493330831567,14.9656082993979,14.832847927036,14.8379866648489,14.8305763488955,15.3533897693492,14.2838133168727,15.5328873736942,14.8372585594086,15.4175772801193,14.8359394110557,14.7732589742905,14.6794566764136,14.5571082344013,14.5582063487845,14.5925554325588,13.7766562936117,14.5560788013643,15.7464124114566,14.5632449510299,14.5473118215273,13.3581982919537,14.5540348844928,14.553690412186,14.4401614085514,14.5586655769358,14.5482936191087,14.7951589477184,14.5062432460802,12.9394515509069,15.3856145061013,14.5637578741346,14.5450381282165,15.3897109608706,14.5635802171017,14.5600952518629,14.5600505220493,14.550330562531
"(2-{[(2E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxy}ethyl)trimethylaminyl",10.7479961054141,11.2570325806799,10.7095129823719,10.6591377624694,10.7432729162712,10.8526599983512,10.0790271049044,10.7554981705758,10.7339765161274,10.181869853325,10.7821421396052,10.0910567012489,11.3503495561065,11.5455387211288,11.1937539313244,10.3052717059045,11.5098173969713,10.7335715251225,10.7564180189817,10.7536983918345,10.7330368483663,11.0615697321814,10.7327287597524,10.1072382711502,10.2306195090457,12.1540516442758,12.0931699456372,12.5932780677983,12.1483827321311,12.4763371295025,11.1304987801848,12.1617945344898,12.1375442888509,11.5392255666892,12.1471106409772,12.7661998088489,12.1492878125007,12.727903826046,12.3790147840432,11.9511766636274,12.1578611768019,12.152480646663,11.6068092638766,12.1372867737262,12.1522984090275,12.4297272745205,12.1339943114954,12.1627088258352,12.1462629867438,11.7777825727819,12.6205712246871,12.6392260166215,11.2171370258666,12.329429638019,12.6096998983988,12.5890565313571,12.2964570655112,12.6152917525231,12.6206848904537,12.6312971489275,14.5115537908603,12.6266421615689,12.6445307807299,11.922196526872,11.8717739448968,15.138149469936,12.8565944803822,12.205538452879,12.9602422683375,13.6758215082612,12.8686814706248,11.2600279725261,12.6628776499096,12.6190189435364,14.1650126916356,11.9337609241431,11.8199556808986,11.943908944818,12.7570382481036,12.9140693864087,11.8457508160671,11.9350585960764,12.5584777232312,12.2854592715256,11.5384581024839,14.2428804985009,12.1338936293233,11.9527564099627,12.3995082523351,11.9438493943373,12.7110662486321,11.6894933512387,11.9460256273915,11.7301760419754,10.6617152634724,11.9472538252573,11.9353446797417,11.9537156161674,11.5445475573033,11.3612192454602
"(2R,3R)-2-hydroxy-3-methylpentanoic acid",10.3608085214681,10.6753491316803,10.667774361399,11.2876028517552,11.2486979251581,9.3298591329862,10.6658334909795,10.6677859667863,10.6669724572621,12.2000334886392,10.6753802973386,10.6723380456724,10.6658507590605,10.4250766675908,10.1448275571192,11.5189132574185,10.1735996558783,10.6603015268299,10.6781918496877,10.6782733585134,10.6544257565125,11.5233382298308,9.65307621489944,10.665041573819,12.052951221899,11.0821185940451,11.0836807274627,11.8797344562685,11.0991756854337,11.0623219555896,10.2925088753341,11.0812148361355,11.0704738033172,10.5371529680775,12.7122855312898,11.0727170030992,10.8239412818283,11.0777683434297,11.0677304015208,11.0692855117116,11.0779280703238,12.0376393483456,10.5038623493954,10.9462474701884,11.069367754362,11.9655814267567,11.5744591811044,11.0647964142271,11.0327940387019,11.0787813692084,12.2562059850937,11.3066488949357,12.4020104792156,12.3924780612556,12.4041538690736,12.841973672655,12.6192421811803,12.3786932500197,12.397685649364,10.5574673538039,12.3807810243449,12.3901682026015,12.3856482396884,12.05767641647,12.3951382862907,12.5156586556017,13.305799789728,12.3871626192488,11.7368766233502,12.379251921549,13.0755115556113,12.3942734059093,12.3882211498584,12.3825143886628,12.3923608406445,12.5941087672278,12.6225153787348,12.5604674636236,12.5267676539866,10.5461251131736,12.5792286403379,14.0728658252054,12.572856896272,12.5651128066388,12.5668570936152,12.58646069513,13.1167626280972,13.2179163774144,12.5654602222279,12.5710326614258,12.5646916760989,12.576377106259,12.5277148737644,11.1153068952227,12.9254673846945,12.097717159337,12.1318126394877,11.2669543156697,12.698703879885,12.5628599713696
(3S)-3-hydroxyoctanoic acid,12.1596415182148,12.1415557537422,12.1387107383245,12.126377511486,13.0646612570817,10.2251061253398,12.1380533388656,12.1418792952303,12.9825895585277,12.1346633333642,10.6772411327353,12.1396933095482,13.447084480558,11.0607898571278,12.6112055501839,12.0801746287751,12.6127336720149,12.1559423510248,12.1441215627429,12.137776033082,12.1505052552653,12.1687326486362,11.1735432767228,11.4019880532247,13.286552287673,11.6403691246831,12.2775767087841,12.8238838387803,11.6404172294614,11.7692635375351,11.6292823357669,11.6348325425383,11.6387929553829,11.494169572391,11.6261456583154,11.6270640105566,10.7587310772597,10.8680687433615,11.6422890838516,10.5814275314563,11.6493211435946,11.7684450716499,11.7089964217109,11.4259146017905,11.3193564201042,11.6348240615891,12.483797272466,11.6387546275,11.9291471270572,11.5658509745461,13.1731842001507,12.5056526448115,13.1756640998483,13.169970884708,13.1772748814044,13.1591974329418,13.1717199415586,13.1675108228389,13.1780147083377,13.1546204635364,13.3219049932663,13.158301001128,13.704311066428,13.9644531777352,13.1636430187867,14.3927869736506,13.1697868627275,12.9945267114538,12.7918867304058,13.1584191602123,13.1730343764869,13.4521806802076,11.9311637476115,11.5269150993719,13.1635269528857,13.3904823293853,13.3275425914931,13.337548091592,13.7671794167627,13.3306104240867,13.3315442034377,14.8575043441261,14.1488081931199,11.0842089968813,13.3316143849786,13.2816146026829,13.344593463599,14.1014118176804,14.7682669744001,13.3440221957675,13.0342955908129,11.7645512640264,13.780414830331,11.9765665459238,12.9486731612882,12.3104359341802,13.3300447081227,12.1483273340121,13.5509568361071,13.33880086793
"(7R,10R)-aspergilloid G",11.2033834984699,11.2019495711404,11.1865262812707,11.1851379204948,11.7894409785885,11.1969346383217,10.7548064701862,10.7132966147921,11.1835878102079,11.1940983021913,11.1988785558993,10.7373049981223,11.5272808062317,11.1912390780186,11.1858772942659,11.1792922626293,11.1853092952119,12.110402044842,11.203622091447,11.1836183115484,10.2591860522307,10.6915529103415,11.2041048503845,11.7061435283173,11.7107947694284,11.9656126868013,12.5041439974824,11.2484252641356,11.2238821782739,11.2472098979399,11.2570480674508,11.9746024312418,11.2454293380771,11.1148492439892,12.297225865108,11.248407464274,11.254355256176,11.2318738129711,10.9378819867771,11.2384564413405,10.8081074816683,11.3454701365947,11.2316287768958,11.2424858812226,10.8501936142326,11.24033693448,11.2489741109245,11.2351208793829,11.2312844298599,11.2540849293874,11.1177079257657,11.0566595321548,11.5572859117467,12.0152312730449,11.5416434896617,11.408921432773,10.7617203569174,11.2648469884394,11.5536737004997,11.5571061781486,10.8982604811413,11.8456493184296,11.2846368123745,10.8923029048239,11.6799450219104,11.3417664729765,11.9586027601315,13.7989556870217,13.5530441722766,12.8311317312938,11.8297439556265,12.0827353504508,11.7738724502395,11.0787366011452,11.5486755329762,10.6575681526757,11.2911474139439,10.3738544520057,12.4827903302327,10.4087415178208,11.1847075392885,11.8149802356255,10.9781998598969,13.2530970297803,11.2755895677414,11.2890258158317,12.4401979810895,11.4799660435062,13.1490125359761,10.6866695892301,13.0226063379058,11.2942123710707,11.2713433627101,11.2887903266514,11.247941449146,11.2672437885029,10.9689010846904,12.0907627028815,11.2895849043953,11.274271004844
1-Octen-3-one,11.3235810779554,10.8097400003034,11.5922686911345,11.5518364539411,11.5553504008203,10.8224181776133,12.1945552206232,11.3401600443615,11.8801845550553,12.1355425650445,11.5564230125373,11.5510946714663,12.5063582129061,11.5615053899913,11.4217490716423,11.6359164119829,11.5568252482074,11.5479442161738,11.5403117951255,11.5483191707052,10.7289442456251,11.7803857858017,10.5239093822246,10.7800682646067,12.5073802574543,12.2485767382032,11.8388344723247,12.0547382894091,12.3117626090794,11.4156627025276,10.5538437144899,11.219669687629,12.9174754369668,10.8724994832888,12.3057686373071,11.3155094646778,11.3069543901315,11.3045727637757,10.5464106506486,11.3141067720658,11.3043800646084,10.6445336762593,11.5208506185967,11.4833038374863,10.5890434969679,11.3131729378984,11.1198227083609,11.3136248756956,11.2004741776055,10.3861231555257,12.5380852478397,11.8576430411566,11.8327363383937,12.1156413312276,12.5718294936414,12.3617535320947,12.7270655923092,13.7121677682872,12.3400056266098,10.4154306142787,13.2196390933134,13.1186486769556,12.5003574111217,13.1020861751553,12.3260104812373,13.6991449926452,12.7785875082551,11.8446633447101,11.5393096176982,11.1532353532589,12.4569826497758,12.2141730153313,11.7034334784096,11.3742049679523,11.954879060212,12.0698192004322,13.2181588176101,12.0924117950894,12.5876967461119,11.2684928688845,12.9384388054352,14.0923473885572,13.5014343020804,11.0562849052694,12.226254885294,11.7261694292273,12.8150705835944,13.031610873317,13.4394807698364,12.200308533654,12.3604356155095,12.1178271056666,11.9485612325491,10.9419548319817,11.3400739388623,11.4750306485926,12.3024516716943,11.4927434572905,12.606023745257,12.2072742073728
1-Palmitoyl-sn-glycero-3-phosphocholine,11.4726098429934,11.4559971015559,11.4778882786705,11.3648863282141,12.033306194952,11.4413158186036,11.3069461196729,11.1782533391823,12.4602113956102,11.4595705799543,14.7071444062793,11.4706568650631,11.4754242006225,11.4267032138883,11.4820355214972,11.4941749232943,11.4548543925255,11.4807439674812,11.4785542010373,11.4537466628387,11.4666481474662,11.4681857284512,11.4643768093279,11.4701720333304,11.8269014769824,14.2967922694073,11.0589815685962,15.8547974641851,15.6975019346207,13.3572210306123,10.99631136745,13.1868313511502,15.8318920034576,13.2568204514213,15.5631464531445,15.1768873728617,14.6357522167469,12.24614972506,16.3830932943694,13.9193154021217,14.969340101163,16.36975441432,16.1987421028311,14.6305910715392,14.6408195489719,14.6248425134249,13.0208938075087,14.643388946924,14.6308839682716,14.6275448374458,11.8686239201832,13.6924995267987,11.6703805219792,11.83070272217,11.9985977701252,11.1471398488955,11.5994971569247,12.2910347298453,11.6562552526176,11.6609465153763,11.6779094104957,10.3207950984394,12.2095487293105,11.7338237015779,11.6542434313975,11.2230213145786,10.9498516243848,11.6819118297457,11.6668932895497,11.6675207192211,10.6147296690747,11.667903109368,11.6772509864586,10.0144269530672,11.6807466114528,17.102645859975,15.5135752929866,12.1022037421534,13.1352898287149,13.0322235300322,13.0155112077688,14.5492251915313,12.1016344788474,12.0969214276752,12.0952230963449,12.0906190922058,12.2843736508761,11.160494674614,11.2663876348247,10.0456366626339,11.718506153856,11.1976322320431,10.8296471327143,10.1670104014166,12.0887276187494,10.9193110515476,12.0927173331512,12.0946002571242,13.1477586281435,12.0895575927773
"2,3-Dihydroxypropyl hexadecanoate",15.3153065593329,14.4214815634459,14.6370700297511,15.142134912299,15.1987789828656,12.6381996257237,15.7993163012938,14.860490700107,14.7749497385868,15.4335796170268,15.1849853810041,14.1664583513231,17.176695761548,16.0716473487234,16.5935986241137,15.8895795215874,16.0616576106266,16.0278563490935,14.2840357650075,16.0635447025784,14.2986304397655,15.6220222675345,14.3167313999931,15.8783630179588,15.9989726954864,16.8482116900177,14.7750058008141,15.8674962467098,15.140233459258,16.1942997370762,15.4699005526606,16.8414757575894,16.3540882800408,16.8612579104872,16.0076436378187,17.0046512537121,16.221615849331,17.0460164330448,15.9322498547057,17.7218708879595,16.8487906371353,18.2345868873531,17.9041338429871,16.8594928365803,18.128813883647,19.0311732816059,18.0661004462235,16.8472704022496,16.8372667830783,17.558540101538,19.772077439856,20.5567527750053,19.2802893145059,18.3611996399836,20.4400893769534,18.8035359103073,20.2357358337747,19.9793851347997,17.0071642634037,17.3793887216813,11.9517986953533,16.9996185718627,18.9594072970345,17.9452557678248,16.6117157219053,16.7905355663163,16.077072613696,16.6987394547131,17.0081983075826,15.0342991318212,15.3663717595867,13.4078434777656,15.183806793279,14.6256330413735,13.1800789010843,17.102415802602,16.5473912271678,15.2172666653632,14.9786147938327,16.2682301992674,16.136954178182,14.6769186112579,16.1835505192721,16.0513873091526,14.5937503984109,16.306108126496,15.0118873592926,15.1940879045727,14.623503374141,14.2994029114621,15.2673964199278,14.6473803825473,15.2227354074482,13.9286083586117,14.3780752082473,15.70173329195,15.2356299080296,14.6903122331507,16.048053731833,15.6232920062752
2-(1-methyl-1H-imidazol-4-yl)acetic acid,11.5423239384629,11.3558446956112,11.5680256780698,11.4492992814981,11.5426308016694,11.543231714431,11.554056837018,10.3734670496944,11.5423612608821,11.55256130246,11.5575784324566,10.7326499853872,11.2625320308535,11.5463411381064,12.3070203123737,11.7550461686029,12.922710665151,10.4394574684681,11.5480236967476,11.5418185587428,10.1218335408087,12.892916225034,12.1821700825626,11.6532656436549,12.5059475388821,11.6754060611879,11.9116182777115,12.2354384668406,12.0765966030343,11.9134820955043,12.0163629686005,11.9130766607877,10.9590211317576,13.0683789387348,11.9077466171727,11.9058779120559,11.7250377065554,11.9221083983524,11.9191364739353,11.9183544011919,12.6486130397843,12.3956647472709,11.9221595441442,11.6463443419658,11.9082504186049,11.9076828109946,12.1463224496256,11.049957390561,11.4296491980022,11.5377524313715,12.8018056217737,13.3084265022522,13.2168259152438,12.9349247637667,14.3396428691609,13.9855672074478,13.360085126306,14.0773126083705,13.6223000073353,13.6211663339842,14.6469284990499,13.6297674382154,13.6185119126439,13.6294444382796,13.6222402237212,13.5502153104559,13.8372782757335,12.865654806519,14.4669940109671,12.7255728795511,13.6309475491049,13.9662736377559,13.6338992192621,13.885599901321,12.4505278697784,13.1550827860918,13.6754967775139,13.6655326952746,13.6781801901312,12.833295642942,14.8927121308058,13.6649315883322,13.6704484395994,12.5530208721864,13.6912651219096,14.2365987230912,14.5104481315486,13.6821651455712,13.0171988679928,13.6229226294949,14.0973887061731,12.1917100625484,15.1800395920469,13.6906259081439,12.5086612562718,13.6880969512433,14.6199542481344,13.6916039105194,14.7623163123627,13.6828643590005
2-Hydroxyoctanoic acid,11.6369792615336,11.6582754835159,12.7565476579885,12.7418925961804,11.968098479359,11.6162324724754,11.6723909502577,11.1371560093619,11.6703728357048,12.983062072749,10.0443534541851,10.9250451342671,13.803848702803,11.4333441466573,12.7722234379194,12.4841507413318,12.8816643650716,10.7804228880357,11.6716705288513,10.1848727995983,11.6935211405163,12.4844421326054,11.4910623443934,11.5612031024628,11.6736558147537,12.527063972554,12.781050666624,12.967820694619,13.1655218233947,12.123052609468,11.2974759889432,12.0537075661176,13.0155383968429,11.9222027493639,13.6738136887182,12.0638468484772,11.7006338026233,10.6908328022419,11.4295949674595,10.2129672178789,12.2330402602483,11.7945644071463,11.8444306914008,12.0494996826667,11.8272760072262,11.6090396411339,12.736431388085,12.0451482502167,12.2055378807694,11.8457001022432,13.536361623669,12.8516893959069,12.677145890925,13.8687903638006,13.8540832446219,13.9462076214785,13.2189244344233,13.4353330853219,13.4129812076266,11.9268714085798,12.4284420168909,14.2962608495829,12.7548981733084,12.7775920436613,12.6250374670692,13.9861965470573,14.7356867193929,13.62795558087,13.4113707858263,11.5909277860315,14.1114361754011,13.6717714781552,11.8047195420878,13.4148237529831,12.2117986223627,13.3470687841844,14.1574633837561,13.3979808202304,13.1748757656055,12.0481344012473,14.0875699404752,14.8515477146166,13.7068350094077,11.2763258234363,13.368834318169,12.5738411568239,14.2644045772338,14.452213267348,14.0726644890164,13.3828051814956,13.7361706703755,12.1237591896824,13.8886837536217,11.675446685877,12.8038291720365,11.7420228254686,13.3520475927166,12.8252408318041,13.7935500596419,13.3755705859088
